timestamp;T_BOILER100;T_BOILER200;T_IN;T_MF4_IN;T_MF4_OUT;T_MM2_IN;T_MM2_OUT;Sinal_vazao1
2025-05-21 00:51:52;-100.0;-100.0;-100.0;21.44;26.28;27.21;26.42;0.0
2025-05-21 00:56:18;-100.0;-100.0;-100.0;26.71;24.61;26.03;26.29;0.0
2025-05-21 00:56:19;-100.0;-100.0;-100.0;21.51;25.5;26.87;26.81;0.0
2025-05-21 00:58:02;-100.0;-100.0;-100.0;21.67;24.95;27.05;26.83;0.0
2025-05-21 01:02:00;-100.0;-100.0;-100.0;20.32;25.05;26.59;26.71;0.0
2025-05-21 01:02:02;-100.0;-100.0;-100.0;27.56;25.67;26.73;26.28;0.0
2025-05-21 01:13:12;-100.0;-100.0;-100.0;28.59;24.61;26.87;26.58;0.0
2025-05-21 01:13:14;-100.0;-100.0;-100.0;27.69;25.2;25.98;26.18;0.0
2025-05-21 01:16:57;-100.0;-100.0;-100.0;20.42;26.43;26.62;26.09;0.0
2025-05-21 01:18:01;-100.0;-100.0;-100.0;26.83;25.47;26.56;26.11;0.0
2025-05-21 01:18:02;-100.0;-100.0;-100.0;24.65;24.55;26.01;26.81;0.0
2025-05-21 01:18:05;-100.0;-100.0;-100.0;19.46;26.17;26.66;26.17;0.0
2025-05-21 01:18:06;-100.0;-100.0;-100.0;26.99;25.98;26.61;26.34;0.0
2025-05-21 01:19:30;-100.0;-100.0;-100.0;21.28;24.51;26.94;26.54;0.0
2025-05-21 01:19:31;-100.0;-100.0;-100.0;27.22;25.32;26.21;26.6;0.0
2025-05-21 01:19:34;-100.0;-100.0;-100.0;24.44;25.62;26.73;26.13;0.0
2025-05-21 01:19:38;-100.0;-100.0;-100.0;26.59;24.71;26.44;26.36;0.0
2025-05-21 01:20:03;-100.0;-100.0;-100.0;26.5;24.89;26.9;26.51;0.0
2025-05-21 01:21:52;-100.0;-100.0;-100.0;26.64;25.54;26.23;25.93;0.0
2025-05-21 01:23:53;-100.0;-100.0;-100.0;20.39;26.35;26.51;26.05;0.0
2025-05-21 01:23:55;-100.0;-100.0;-100.0;28.86;24.35;26.07;26.27;0.0
2025-05-21 01:27:00;-100.0;-100.0;-100.0;19.84;25.55;26.01;26.07;0.0
2025-05-21 01:27:04;-100.0;-100.0;-100.0;20.21;24.79;26.83;26.39;0.0
2025-05-21 01:27:06;-100.0;-100.0;-100.0;27.08;25.37;26.31;26.58;0.0
2025-05-21 01:38:30;-100.0;-100.0;-100.0;24.14;25.42;26.56;26.36;0.0
2025-05-21 01:38:33;-100.0;-100.0;-100.0;20.31;26.24;26.87;25.88;0.0
2025-05-21 01:38:34;-100.0;-100.0;-100.0;21.04;25.99;26.69;26.02;0.0
2025-05-21 01:38:35;-100.0;-100.0;-100.0;23.77;24.65;26.03;25.9;0.0
2025-05-21 01:38:37;-100.0;-100.0;-100.0;27.88;24.08;25.68;26.66;0.0
2025-05-21 01:38:39;-100.0;-100.0;-100.0;26.78;24.33;26.27;26.43;0.0
2025-05-21 01:41:52;-100.0;-100.0;-100.0;21.23;24.15;26.72;26.47;0.0
2025-05-21 01:46:52;-100.0;-100.0;-100.0;24.37;25.17;26.43;26.12;0.0
2025-05-21 01:47:50;-100.0;-100.0;-100.0;23.59;24.19;26.38;26.16;0.0
2025-05-21 02:01:05;-100.0;-100.0;-100.0;20.89;25.65;26.4;26.17;0.0
2025-05-21 02:11:52;-100.0;-100.0;-100.0;20.18;24.23;26.55;26.4;0.0
2025-05-21 02:16:52;-100.0;-100.0;-100.0;28.48;24.91;25.89;25.76;0.0
2025-05-21 02:20:38;-100.0;-100.0;-100.0;21.07;24.91;26.44;26.42;0.0
2025-05-21 02:33:49;-100.0;-100.0;-100.0;26.5;24.6;25.93;26.66;0.0
2025-05-21 02:33:51;-100.0;-100.0;-100.0;22.78;25.42;26.85;26.15;0.0
2025-05-21 02:41:52;-100.0;-100.0;-100.0;21.92;25.74;26.71;25.94;0.0
2025-05-21 02:42:34;-100.0;-100.0;-100.0;20.01;24.0;26.71;26.66;0.0
2025-05-21 02:42:37;-100.0;-100.0;-100.0;21.03;24.1;26.16;26.48;0.0
2025-05-21 02:46:52;-100.0;-100.0;-100.0;25.06;23.91;25.92;26.67;0.0
2025-05-21 03:00:33;-100.0;-100.0;-100.0;20.94;24.47;26.07;26.25;0.0
2025-05-21 03:00:40;-100.0;-100.0;-100.0;22.71;25.37;26.51;25.81;0.0
2025-05-21 03:00:44;-100.0;-100.0;-100.0;18.95;24.26;26.54;26.18;0.0
