timestamp;T_MF4_IN;T_MF4_OUT;T_MM2_IN;T_MM2_OUT;T_BOILER100;T_BOILER200;T_IN;Sinal_Vazao1
2025-04-10 18:25:21;28.44;33.64;33.12;32.76;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:24;32.17;29.35;33.07;32.45;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:27;29.33;29.11;33.77;32.43;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:30;28.48;28.79;33.48;32.27;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:32;27.94;29.37;32.7;33.12;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:35;28.89;30.87;32.91;33.16;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:37;38.3;32.91;32.61;33.17;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:39;28.96;33.48;32.88;32.84;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:42;29.02;33.35;32.78;33.01;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:44;29.16;33.23;33.07;32.8;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:47;29.42;31.15;33.4;32.54;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:49;28.02;28.72;33.56;32.24;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:52;39.28;31.2;32.64;32.81;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:55;37.76;30.98;33.58;32.38;-100.0;-100.0;-100.0;1.0
2025-04-10 18:25:57;29.81;28.63;33.57;32.4;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:00;38.74;30.95;32.65;32.8;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:02;29.63;28.3;33.17;32.57;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:05;35.26;29.55;33.51;33.11;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:07;36.85;31.81;32.89;32.79;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:09;27.01;34.15;33.69;32.6;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:12;26.23;29.47;33.81;32.72;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:15;35.23;31.4;32.65;33.02;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:17;29.2;32.92;32.7;33.06;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:19;28.48;28.82;33.8;32.47;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:22;29.42;28.49;33.26;32.42;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:24;29.38;30.12;33.45;32.7;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:27;28.76;31.88;32.51;33.04;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:29;27.31;33.2;32.8;33.33;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:32;26.57;34.12;32.97;33.11;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:35;27.6;30.02;33.24;33.1;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:37;30.94;28.64;33.21;32.42;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:40;38.67;30.98;32.7;32.77;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:43;35.01;30.78;32.93;32.7;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:45;32.05;34.2;32.82;33.12;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:48;30.26;29.84;32.95;32.63;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:50;26.68;29.41;33.59;32.79;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:53;32.84;30.62;32.75;32.95;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:56;33.35;30.69;32.76;32.91;-100.0;-100.0;-100.0;1.0
2025-04-10 18:26:58;28.64;30.73;33.61;32.56;-100.0;-100.0;-100.0;1.0
2025-04-10 18:27:02;35.68;31.3;32.75;33.02;-100.0;-100.0;-100.0;1.0
2025-04-10 18:27:04;37.63;31.78;32.71;33.03;-100.0;-100.0;-100.0;1.0
2025-04-10 18:27:06;26.52;31.61;33.1;33.34;-100.0;-100.0;-100.0;1.0
2025-04-10 18:27:09;27.46;28.81;33.34;32.42;-100.0;-100.0;-100.0;1.0
2025-04-10 18:27:11;26.09;32.88;33.37;32.83;-100.0;-100.0;-100.0;1.0
2025-04-10 18:27:14;26.59;31.33;33.65;33.13;-100.0;-100.0;-100.0;1.0
2025-04-10 18:27:17;28.35;29.04;33.58;32.26;-100.0;-100.0;-100.0;1.0
